Country,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10
Belgium,5.7,17.7,583.5,5.3,12.8,54.4,17.9,82.96,18.4,12.3
Bulgaria,41.6,9.4,623.4,8.7,20.1,31.5,13,63.72,14.2,21.8
Czechia,15.7,14.6,634.4,6.2,19.5,32.2,7.7,82.3,26.7,7.9
Denmark,9.2,18.2,1053.8,3,12,49.9,16.4,92.9,18,7.4
Germany (until 1990 former territory of the FRG),7.4,27.8,586.7,4,13.1,67.1,13.4,95.974,14.9,13.3
Estonia,12.6,8.6,1484.4,5.1,6.3,28,13.6,87.87,19.4,7.4
Ireland,2.7,9.4,972.7,2.9,8.8,37.6,11.9,61.15,18.3,10
Greece,29.2,19.3,710.2,6.5,13.4,20.1,12.9,93.4,17.3,13.5
Spain,4.7,17,577.5,3.9,11.7,34.8,15.9,86.62,15.1,10.9
France,8.2,18.2,845.1,4.8,11.7,45.1,12.7,79.3,16.7,14.9
Croatia,39.3,8,722.5,7.7,20.3,25.3,11.2,36.9,15.2,2.6
Italy,27.8,10.9,484.3,5.5,16,49.8,13.2,59.6,18,11.3
Cyprus,2.5,19.6,939,5.6,13.2,16.5,30.2,,18.9,13.9
Latvia,43.4,13.7,1276.1,7.7,16.1,25.2,23.5,98.69,17.2,8.6
Lithuania,22.8,14.8,1090.5,6.2,8.5,52.5,14.8,75.8,9.6,3.7
Luxembourg,8.4,19.3,565.2,5.9,11.1,49,18.3,97,17.1,11.3
Hungary,20.1,8.5,811.5,6.5,17.7,37.4,22.5,80.36,29.4,4.8
Malta,3.4,28.2,201.4,3.7,,10,7.1,0,17.5,12.5
Netherlands,4.1,27.1,456.9,3.5,11.8,55.9,15.8,99.5,14.3,17.5
Austria,13.5,17.5,740.1,4.6,15.5,57.7,10.4,99.78,22.9,9.7
Poland,39.2,13.8,633.7,7.5,24.3,34.3,11.6,74,20.7,4.8
Portugal,9.6,23,689.1,6.8,10.8,29.1,26.9,84.64,11.6,6.5
Romania,46.3,20.1,528.4,9.6,20,11.1,10.1,48.1,21.2,11.5
Slovenia,12.5,14.3,625.1,4.4,18.3,58.9,22.7,68.9,13.6,7.9
Slovakia,35.5,11.2,631.8,4.8,16.9,36.3,5.1,65.7,26.1,4.8
Finland,7.3,13.4,2447.6,4.3,6.4,42.3,4.6,85,15.8,7
Sweden,15.2,17,2223,3.2,6.2,45.8,7.8,95,16.9,14.4
Iceland,10.4,11.1,,5.1,6.2,0,19.1,,13.6,2.8
Norway,6,10.8,,2,6.1,40.7,6.8,66.9,10.8,4.2
Switzerland,6.2,17.2,,2.7,11.1,52.5,9.8,98,25.2,7.9
United Kingdom,4.8,19.8,426.9,2.8,10.1,44.1,17.6,100,12.9,24.2
Type,-1,-1,1,-1,-1,1,-1,1,1,-1
